     Target    Comparison          Layer      Distance  DistanceInverted
346      o4   o4_t1_cs_d1  AlexNet_pool2   1323.878174       1571.865967
347      o4   o4_t1_cs_d1  AlexNet_pool1  25250.316406      25502.109375
348      o4   o4_t1_cs_d1  AlexNet_norm1    699.813477        758.925659
349      o4   o4_t1_cs_d1  AlexNet_pool5     70.405891         81.799713
350      o4   o4_t1_cs_d2    AlexNet_fc6      5.195539          8.373302
351      o4   o4_t1_cs_d2    AlexNet_fc7      0.357954          0.675392
352      o4   o4_t1_cs_d2    AlexNet_fc8      0.674711          1.922562
353      o4   o4_t1_cs_d2  AlexNet_conv4     79.689507         93.035088
354      o4   o4_t1_cs_d2   AlexNet_prob      0.000128          0.000364
355      o4   o4_t1_cs_d2  AlexNet_conv3    260.561127        297.964874
356      o4   o4_t1_cs_d2  AlexNet_conv2    322.011353        349.628174
357      o4   o4_t1_cs_d2  AlexNet_conv1   6190.577148       6188.573730
358      o4   o4_t1_cs_d2  AlexNet_conv5     14.774501         17.204361
359      o4   o4_t1_cs_d2  AlexNet_norm2    425.148621        494.256989
360      o4   o4_t1_cs_d2  AlexNet_pool2    855.901550        980.230469
361      o4   o4_t1_cs_d2  AlexNet_pool1  19027.386719      19664.603516
362      o4   o4_t1_cs_d2  AlexNet_norm1    417.300201        483.586761
363      o4   o4_t1_cs_d2  AlexNet_pool5     46.950748         57.434223
364      o4   o4_t2_ap_d1    AlexNet_fc6     10.196929         10.677532
365      o4   o4_t2_ap_d1    AlexNet_fc7      0.722730          0.856515
366      o4   o4_t2_ap_d1    AlexNet_fc8      1.510700          2.337115
367      o4   o4_t2_ap_d1  AlexNet_conv4    129.779953        120.603157
368      o4   o4_t2_ap_d1   AlexNet_prob      0.000307          0.000323
369      o4   o4_t2_ap_d1  AlexNet_conv3    403.910309        378.231201
